705040302      HIGH CARD      7h 2s 3s 4s 5s 0.0
706040302      HIGH CARD      7h 2s 3s 4s 6s 0.0001
706050302      HIGH CARD      7h 2s 3s 5s 6s 0.0001
706050402      HIGH CARD      7h 2s 4s 5s 6s 0.0007
805040302      HIGH CARD      8h 2s 3s 4s 5s 0.0013
806040302      HIGH CARD      8h 2s 3s 4s 6s 0.0013
806050302      HIGH CARD      8h 2s 3s 5s 6s 0.0013
806050402      HIGH CARD      8h 2s 4s 5s 6s 0.0014
806050403      HIGH CARD      8h 3s 4s 5s 6s 0.0019
807040302      HIGH CARD      8h 2s 3s 4s 7s 0.0025
807050302      HIGH CARD      8h 2s 3s 5s 7s 0.0026
807050402      HIGH CARD      8h 2s 4s 5s 7s 0.0037
807050403      HIGH CARD      8h 3s 4s 5s 7s 0.0026
807060302      HIGH CARD      8h 2s 3s 6s 7s 0.0039
807060402      HIGH CARD      8h 2s 4s 6s 7s 0.0037
807060403      HIGH CARD      8h 3s 4s 6s 7s 0.005
807060502      HIGH CARD      8h 2s 5s 6s 7s 0.004
807060503      HIGH CARD      8h 3s 5s 6s 7s 0.0052
905040302      HIGH CARD      9h 2s 3s 4s 5s 0.0042
906040302      HIGH CARD      9h 2s 3s 4s 6s 0.0053
906050302      HIGH CARD      9h 2s 3s 5s 6s 0.005
906050402      HIGH CARD      9h 2s 4s 5s 6s 0.0063
906050403      HIGH CARD      9h 3s 4s 5s 6s 0.0059
907040302      HIGH CARD      9h 2s 3s 4s 7s 0.0055
907050302      HIGH CARD      9h 2s 3s 5s 7s 0.0052
907050402      HIGH CARD      9h 2s 4s 5s 7s 0.0074
907050403      HIGH CARD      9h 3s 4s 5s 7s 0.0072
907060302      HIGH CARD      9h 2s 3s 6s 7s 0.0071
907060402      HIGH CARD      9h 2s 4s 6s 7s 0.0077
907060403      HIGH CARD      9h 3s 4s 6s 7s 0.0087
907060502      HIGH CARD      9h 2s 5s 6s 7s 0.0079
907060503      HIGH CARD      9h 3s 5s 6s 7s 0.007
907060504      HIGH CARD      9h 4s 5s 6s 7s 0.0085
908040302      HIGH CARD      9h 2s 3s 4s 8s 0.0108
908050302      HIGH CARD      9h 2s 3s 5s 8s 0.0085
908050402      HIGH CARD      9h 2s 4s 5s 8s 0.0091
908050403      HIGH CARD      9h 3s 4s 5s 8s 0.0111
908060302      HIGH CARD      9h 2s 3s 6s 8s 0.0113
908060402      HIGH CARD      9h 2s 4s 6s 8s 0.0089
908060403      HIGH CARD      9h 3s 4s 6s 8s 0.0118
908060502      HIGH CARD      9h 2s 5s 6s 8s 0.0096
908060503      HIGH CARD      9h 3s 5s 6s 8s 0.0122
908060504      HIGH CARD      9h 4s 5s 6s 8s 0.0116
908070302      HIGH CARD      9h 2s 3s 7s 8s 0.0109
908070402      HIGH CARD      9h 2s 4s 7s 8s 0.0105
908070403      HIGH CARD      9h 3s 4s 7s 8s 0.0117
908070502      HIGH CARD      9h 2s 5s 7s 8s 0.0136
908070503      HIGH CARD      9h 3s 5s 7s 8s 0.0148
908070504      HIGH CARD      9h 4s 5s 7s 8s 0.0128
908070602      HIGH CARD      9h 2s 6s 7s 8s 0.013
908070603      HIGH CARD      9h 3s 6s 7s 8s 0.0165
